,date,交通工具,家用电器,失业救济金,房地产中介,抵押贷款,风险投资,破产,海运,农业,出口,货运,经济衰退,食品
0,2023-06-07,740,391,149,170,2302,389,435,387,2728,1169,284,290,871
1,2023-06-08,883,480,158,162,2177,444,490,361,3004,1028,280,260,813
2,2023-06-09,654,384,159,157,2402,382,443,348,3119,816,275,217,807
3,2023-06-10,684,365,126,148,2552,305,420,258,2624,554,222,191,635
4,2023-06-11,818,344,79,141,2311,318,380,255,2485,523,217,217,594
5,2023-06-12,559,414,137,200,3050,391,439,333,3255,816,292,249,885
6,2023-06-13,594,413,144,168,2706,405,455,383,3165,835,273,269,887
