,Unnamed: 0,date,交通运输,交通工具,交通,上海封城,上海封控,封城,破产,海运,出口,货运,经济衰退,物流,快递,上海物流,上海快递,空调,上海空调
70,70,2022-06-11,484,565,1096,891,554,249,455,339,504,299,263,2535,28972,284,1069,58340,171
71,71,2022-06-12,560,600,1098,655,380,241,464,368,447,364,247,2343,27595,278,1025,32948,171
72,72,2022-06-13,657,617,1261,651,359,249,571,475,651,340,305,2956,31171,317,1166,68077,171
73,73,2022-06-14,714,792,1200,555,324,234,524,446,631,388,366,2754,30246,336,1082,15919,159
74,74,2022-06-15,794,617,1312,517,296,237,556,439,651,332,338,2927,30367,314,1009,31895,157
75,75,2022-06-16,801,904,1280,437,253,225,576,497,655,332,299,2896,30992,307,956,52424,226
76,76,2022-06-17,808,613,1240,422,265,212,556,444,568,342,342,2885,30997,314,812,44227,229
77,77,2022-06-18,789,490,1093,365,206,203,460,330,406,282,259,2375,29091,272,743,42931,224
78,78,2022-06-19,821,839,1102,391,197,236,469,271,421,291,231,2442,28800,261,699,54509,165
79,79,2022-06-20,854,779,1263,503,302,255,588,518,735,331,411,3059,32889,289,744,57351,227
80,80,2022-06-21,818,632,1261,462,287,282,519,487,645,380,363,3039,32681,301,665,87337,163
81,81,2022-06-22,961,610,1207,436,244,236,546,450,676,312,433,3026,32762,288,629,68641,236
82,82,2022-06-23,1142,948,1230,430,240,199,578,459,583,367,521,3042,33529,287,557,74764,160
83,83,2022-06-24,2056,523,1242,363,228,210,507,474,588,345,369,3052,32477,310,482,48748,168
84,84,2022-06-25,3470,563,1174,324,178,210,412,385,417,278,302,2701,28714,234,462,53692,176
85,85,2022-06-26,4243,677,1163,302,175,226,448,332,388,279,251,2468,26927,258,384,80955,164
86,86,2022-06-27,4064,734,1326,347,222,242,524,456,573,332,279,3075,29857,273,471,65105,167
87,87,2022-06-28,3721,615,1269,393,217,230,528,472,584,348,244,3094,29465,252,451,65977,174
88,88,2022-06-29,3240,587,1213,390,231,217,522,427,539,363,254,2819,28987,236,415,65049,237
89,89,2022-06-30,2557,541,1263,383,199,211,528,443,600,334,316,2862,29156,230,359,88546,154
