,date,交通工具,家用电器,失业救济金,房地产中介,抵押贷款,风险投资,破产,海运,农业,出口,货运,经济衰退,食品
54,2019-02-24,452,337,127,168,1076,349,348,263,1258,370,254,158,424
55,2019-02-25,356,252,67,121,692,260,288,147,925,311,138,108,331
56,2019-02-26,643,286,79,132,701,300,349,205,854,384,169,144,380
57,2019-02-27,691,282,122,154,885,358,491,228,1218,380,188,159,472
58,2019-02-28,752,307,117,171,773,389,698,255,1446,439,223,146,529
59,2019-03-01,784,315,129,198,783,408,689,269,1561,476,233,161,575
60,2019-03-02,743,319,139,235,1053,492,816,295,1732,616,227,227,640
61,2019-03-03,811,318,144,252,1155,507,728,334,1720,769,278,227,683
62,2019-03-04,752,299,151,257,1122,502,793,330,1794,819,290,323,718
63,2019-03-05,791,281,145,258,1081,485,729,329,1762,924,298,578,696
64,2019-03-06,727,290,210,254,1087,501,680,334,1768,891,309,513,722
65,2019-03-07,689,286,248,248,1091,542,736,327,1649,1007,320,498,661
66,2019-03-08,635,285,230,254,1123,506,636,331,1605,836,302,413,613
67,2019-03-09,604,298,235,259,1098,530,774,329,1624,784,294,405,633
68,2019-03-10,610,301,206,260,1072,518,852,305,1697,725,284,396,642
69,2019-03-11,556,273,175,241,1017,477,652,288,1486,615,274,263,534
70,2019-03-12,568,265,166,245,1018,498,648,307,1546,638,273,259,519
71,2019-03-13,585,266,180,240,1099,558,731,298,1628,628,271,278,584
72,2019-03-14,588,261,171,235,1077,557,645,319,1627,565,294,238,575
73,2019-03-15,581,260,174,236,1092,513,594,316,1606,545,252,228,568
74,2019-03-16,581,262,163,210,1046,534,740,329,1625,582,283,228,640
75,2019-03-17,560,271,178,236,1023,530,675,305,1530,608,274,242,670
76,2019-03-18,543,320,167,215,1021,552,635,325,1512,646,277,210,647
77,2019-03-19,520,321,164,211,1023,471,710,312,1269,512,269,214,568
78,2019-03-20,587,327,182,227,1073,555,684,321,1435,639,271,203,594
79,2019-03-21,558,315,163,229,1105,471,614,318,1632,641,254,176,586
80,2019-03-22,557,310,155,235,1170,429,588,359,1581,593,256,184,592
81,2019-03-23,532,303,173,235,1245,440,581,339,1610,556,288,174,806
82,2019-03-24,521,362,187,251,1294,469,555,338,1533,576,320,176,797
83,2019-03-25,485,387,205,248,1361,420,589,315,1513,652,335,162,697
84,2019-03-26,524,299,180,239,1284,405,607,314,1650,592,348,173,537
85,2019-03-27,577,309,182,209,1148,405,629,304,1525,574,339,163,563
86,2019-03-28,585,347,168,214,1132,415,760,356,1560,549,404,170,701
87,2019-03-29,525,347,170,215,1061,417,613,340,1489,633,394,170,684
88,2019-03-30,617,341,163,248,990,435,593,382,1445,692,368,168,714
89,2019-03-31,692,340,155,228,1049,455,583,377,1617,555,347,180,785
90,2019-04-01,667,368,162,215,1100,478,606,363,1604,579,423,184,801
91,2019-04-02,549,281,147,186,835,388,496,271,1257,473,324,157,591
92,2019-04-03,619,307,157,227,1097,461,561,310,1421,559,382,169,945
93,2019-04-04,721,338,167,222,1187,483,634,353,1576,623,385,184,916
94,2019-04-05,706,348,163,214,1051,465,591,357,1573,529,289,174,912
95,2019-04-06,720,390,165,220,1037,460,584,355,1603,535,293,169,975
96,2019-04-07,716,411,166,215,1105,454,593,374,1616,549,315,163,935
97,2019-04-08,721,393,157,238,1021,447,766,385,1622,540,337,175,832
98,2019-04-09,759,394,160,243,1145,470,788,437,1650,575,359,170,893
99,2019-04-10,750,387,183,243,1083,529,686,493,1578,538,349,175,820
100,2019-04-11,740,380,168,211,945,507,617,444,1608,556,334,173,806
101,2019-04-12,783,394,195,217,1087,475,601,443,1625,652,367,169,915
102,2019-04-13,653,348,196,224,1062,499,581,414,1582,581,359,173,915
103,2019-04-14,593,345,212,252,1094,466,578,413,1641,621,391,182,1000
104,2019-04-15,535,319,191,212,941,452,527,362,1555,572,360,157,889
105,2019-04-16,592,358,165,232,1145,449,541,441,1458,637,398,162,1138
106,2019-04-17,533,386,191,239,1065,369,544,387,1522,662,381,154,1094
107,2019-04-18,501,365,166,244,1060,372,518,355,1461,599,325,152,1150
108,2019-04-19,523,351,156,250,1033,429,742,356,1432,586,295,542,1172
109,2019-04-20,489,304,145,218,944,404,705,348,1417,544,277,170,1022
110,2019-04-21,357,245,122,170,717,332,475,234,959,358,175,148,761
111,2019-04-22,499,311,124,235,945,377,517,303,1138,485,261,144,800
112,2019-04-23,716,423,142,254,1182,407,579,355,1497,625,318,159,1002
113,2019-04-24,722,367,154,249,1218,472,670,390,1485,723,315,163,1076
114,2019-04-25,777,356,152,300,1177,482,573,415,1405,696,316,161,1048
115,2019-04-26,802,340,140,325,1154,492,556,387,1473,676,315,162,1048
116,2019-04-27,930,349,146,309,1080,469,520,484,1424,631,308,151,1030
117,2019-04-28,1243,326,140,285,919,458,513,452,1273,590,311,147,894
118,2019-04-29,1140,333,134,277,961,517,517,430,1200,586,309,153,902
119,2019-04-30,875,369,144,254,968,503,554,447,1251,635,338,156,897
120,2019-05-01,952,377,148,261,940,500,524,453,1226,540,351,156,923
121,2019-05-02,705,348,142,258,768,429,455,423,1050,516,315,148,872
122,2019-05-03,682,320,130,274,882,437,462,421,1125,536,287,141,816
123,2019-05-04,964,365,133,255,940,522,502,473,1236,569,296,149,854
124,2019-05-05,825,354,135,266,914,501,517,467,1256,541,312,151,806
125,2019-05-06,761,382,138,246,914,546,499,473,1235,559,298,160,776
126,2019-05-07,814,379,143,251,856,523,491,411,1315,557,297,157,776
127,2019-05-08,669,368,121,242,898,472,474,441,1346,542,303,151,787
128,2019-05-09,608,398,139,261,872,512,465,442,1312,515,288,161,788
129,2019-05-10,549,384,147,230,945,469,496,473,1306,524,322,148,845
130,2019-05-11,507,356,138,255,863,421,481,439,1255,509,303,134,790
131,2019-05-12,546,328,124,259,874,417,518,452,1205,487,336,136,729
132,2019-05-13,514,354,134,256,811,359,525,451,1200,497,305,134,696
133,2019-05-14,518,330,145,229,839,320,781,413,1151,458,286,137,711
134,2019-05-15,506,344,116,236,794,315,553,382,1135,448,291,131,661
135,2019-05-16,486,339,132,240,850,333,502,407,1141,504,286,137,701
136,2019-05-17,514,365,140,256,904,334,605,428,1175,526,297,136,674
137,2019-05-18,515,371,149,291,896,353,622,495,1125,504,307,166,654
138,2019-05-19,672,336,146,301,910,342,562,457,1221,502,303,149,736
139,2019-05-20,565,341,142,266,888,346,537,470,1284,507,288,155,791
140,2019-05-21,596,386,154,298,913,410,618,560,1355,597,321,157,852
141,2019-05-22,572,331,152,294,873,375,801,554,1271,517,299,144,824
142,2019-05-23,620,293,127,282,856,372,624,457,1209,489,287,156,686
143,2019-05-24,555,289,111,253,731,312,644,515,1085,515,276,140,632
144,2019-05-25,638,304,93,257,794,343,558,428,1118,438,271,159,645
145,2019-05-26,628,302,143,259,781,414,568,464,1203,519,271,177,767
146,2019-05-27,657,325,134,235,735,423,503,424,1192,510,282,175,732
147,2019-05-28,651,338,142,246,750,397,529,414,1212,527,277,172,757
148,2019-05-29,697,377,145,268,760,411,518,400,1242,509,271,173,839
149,2019-05-30,680,376,148,248,737,408,877,375,1279,509,292,172,824
150,2019-05-31,731,364,155,264,768,445,593,405,1280,530,299,177,850
151,2019-06-01,695,359,145,240,770,415,594,384,1314,498,292,182,835
152,2019-06-02,722,366,154,236,807,427,544,425,1309,523,294,163,813
153,2019-06-03,707,358,148,221,853,446,518,404,1325,550,280,180,841
154,2019-06-04,748,362,154,215,845,426,511,380,1391,557,294,191,881
155,2019-06-05,678,388,126,197,812,396,511,332,1303,521,307,176,855
156,2019-06-06,576,390,139,191,715,369,446,379,1330,479,299,191,705
157,2019-06-07,504,433,141,185,774,348,477,335,1327,477,301,191,602
158,2019-06-08,508,478,138,180,707,314,449,303,1264,467,302,153,588
159,2019-06-09,558,445,129,185,699,306,492,313,1247,472,298,141,581
160,2019-06-10,658,385,115,174,670,309,450,279,1716,526,421,131,590
161,2019-06-11,371,285,75,158,542,259,358,230,1151,356,484,114,481
162,2019-06-12,606,450,144,231,1040,513,461,351,1689,587,381,145,827
163,2019-06-13,720,424,150,204,1013,456,493,375,1685,589,428,151,894
164,2019-06-14,762,401,149,204,1072,447,494,367,1644,664,352,156,1001
165,2019-06-15,821,420,144,203,1046,474,504,392,1707,630,351,165,978
166,2019-06-16,792,438,152,205,1001,448,506,414,1659,628,331,219,1022
167,2019-06-17,942,414,149,199,981,547,516,378,1622,719,331,216,1084
