,date,交通工具,家用电器,失业救济金,房地产中介,抵押贷款,风险投资,破产,海运,农业,出口,货运,经济衰退,食品
0,2023-05-31,1022,406,152,180,1005,402,610,327,2555,666,243,294,710
1,2023-06-01,451,442,139,163,1009,343,467,326,2822,654,248,260,698
2,2023-06-02,881,392,139,166,1433,386,451,331,2858,698,249,224,747
3,2023-06-03,544,390,129,150,2077,335,407,253,2351,447,231,186,611
4,2023-06-04,844,340,76,146,2554,315,385,271,2401,468,202,216,631
5,2023-06-05,839,423,136,168,2451,389,486,360,3007,715,281,272,788
6,2023-06-06,988,382,164,160,2409,370,537,350,2906,715,284,238,832
